"YES",2400,3.7,5
"YES",2110,3.6,5
"YES",2220,3.6,5
"YES",2400,4,5
"YES",2230,4,4
"YES",2200,3.9,5
"YES",2150,3.7,5
"YES",2380,3.6,4
"YES",2110,3.9,5
"YES",2350,3.7,5
"YES",2200,3.6,4
"YES",2350,3.7,5
"YES",2210,4,5
"YES",2380,4,4
"YES",2260,3.8,4
"YES",2100,3.8,4
"YES",2400,3.7,5
"YES",2130,3.6,4
"YES",2370,3.7,4
"YES",2240,3.6,5
"NO",1560,3.9,3
"NO",1930,2.7,2
"NO",2020,2.5,2
"NO",1760,2.8,4
"NO",2010,2.8,3
"NO",2190,2.3,3
"NO",1830,2.2,3
"NO",2140,3.3,4
"NO",1590,3.5,3
"NO",1710,2.6,1
"NO",2030,2.5,1
"NO",1740,3.5,1
"NO",1680,2.7,2
"NO",1900,2,2
"NO",2090,3.7,4
"NO",1890,3.5,1
"NO",1680,3.3,3
"NO",1660,3.4,1
"NO",1450,2.9,3
"NO",1480,2.6,2
"NO",2190,2.3,3
"NO",2110,2.1,3
"NO",1510,2.7,4
"NO",1770,3.4,3
"NO",1850,3.2,1
"NO",1580,3.3,4
"NO",1820,3.9,4
"NO",1440,3.7,4
"NO",1680,2.3,2
"NO",1850,2.4,4
"NO",2130,2.9,2
"NO",1630,2.1,3
"NO",1550,3.8,4
"NO",2040,2.1,2
"NO",2050,2.2,3
"NO",2130,2.1,2
"NO",1780,2.5,3
"NO",1490,2.6,2
"NO",1640,3.3,2
"NO",1480,2.6,4
"NO",1470,3.1,4
"NO",1690,3.4,1
"NO",2150,3.7,1
"NO",2060,3.4,2
"NO",2140,3.8,2
"NO",1960,3.9,3
"NO",1500,2,2
"NO",1620,3,3
"NO",1460,2.3,3
"NO",2120,3.1,1
"NO",2000,2.9,1
"NO",1670,2.5,1
"NO",2180,3.6,4
"NO",2190,3.3,1
"NO",1810,3.6,3
"NO",1800,3,1
"NO",1990,3.4,4
"NO",1730,3.4,1
"NO",1520,2.2,2
"NO",2200,2,4
"NO",1660,3.5,3
"NO",1780,2.4,2
"NO",2090,2.6,1
"NO",1600,3.1,2
"NO",2100,3.1,4
"NO",2020,2.5,3
"NO",2000,3.1,4
"NO",1980,3.5,2
"NO",2190,2.5,1
"NO",2140,3,2
"NO",1880,3.9,1
"NO",2170,3.8,4
"NO",1660,2.5,3
"NO",2020,3.5,2
"NO",2160,3.8,2
"NO",1820,3.9,1
"NO",1820,3.3,1
"NO",2000,3.4,1
"NO",2190,2.6,2
"NO",1520,3.1,1
